timestamp,gpu_utilization_percent,memory_used_mb,memory_total_mb,power_draw_w,temperature_c
2025/06/08 03:17:21.754, 0, 1, 81920, 43.84, 42
2025/06/08 03:17:21.755, 0, 1, 81920, 44.25, 31
2025/06/08 03:17:21.841, 12, 64625, 81920, 62.05, 35
2025/06/08 03:17:21.842, 0, 4, 81920, 42.08, 31
2025/06/08 03:17:21.843, 13, 64625, 81920, 64.66, 36
2025/06/08 03:17:21.844, 0, 4, 81920, 45.09, 34
2025/06/08 03:17:22.137, 0, 423, 81920, 65.55, 31
2025/06/08 03:17:22.140, 0, 4, 81920, 42.67, 29
2025/06/08 03:17:24.996, 100, 72987, 81920, 246.91, 40
2025/06/08 03:17:25.000, 0, 4, 81920, 40.23, 29
2025/06/08 03:17:25.008, 76, 72987, 81920, 243.24, 40
2025/06/08 03:17:25.009, 0, 4, 81920, 40.81, 29
2025/06/08 03:17:25.010, 85, 72987, 81920, 243.65, 55
2025/06/08 03:17:25.011, 0, 4, 81920, 40.88, 29
2025/06/08 03:17:26.792, 0, 1, 81920, 43.74, 41
2025/06/08 03:17:26.796, 0, 1, 81920, 44.12, 31
2025/06/08 03:17:26.896, 11, 64625, 81920, 61.85, 35
2025/06/08 03:17:26.897, 0, 4, 81920, 42.17, 31
2025/06/08 03:17:26.901, 12, 64625, 81920, 64.66, 36
2025/06/08 03:17:26.902, 0, 4, 81920, 44.99, 34
2025/06/08 03:17:27.176, 2, 64625, 81920, 65.65, 31
2025/06/08 03:17:27.183, 0, 4, 81920, 42.67, 29
2025/06/08 03:17:30.039, 87, 72987, 81920, 252.00, 55
2025/06/08 03:17:30.043, 0, 4, 81920, 45.82, 29
2025/06/08 03:17:30.048, 100, 72987, 81920, 250.37, 43
2025/06/08 03:17:30.049, 0, 4, 81920, 40.81, 29
2025/06/08 03:17:30.052, 91, 72987, 81920, 257.10, 40
2025/06/08 03:17:30.053, 0, 4, 81920, 40.03, 29
2025/06/08 03:17:31.846, 0, 1, 81920, 43.24, 40
2025/06/08 03:17:31.851, 0, 1, 81920, 44.14, 31
2025/06/08 03:17:31.935, 17, 64625, 81920, 62.44, 35
2025/06/08 03:17:31.935, 0, 4, 81920, 42.09, 31
2025/06/08 03:17:31.939, 18, 64625, 81920, 65.44, 36
2025/06/08 03:17:31.940, 0, 4, 81920, 45.09, 34
2025/06/08 03:17:32.220, 1, 64625, 81920, 66.45, 31
2025/06/08 03:17:32.228, 0, 4, 81920, 42.67, 29
2025/06/08 03:17:35.0832025/06/08 03:17:35.087, 100, 96, 1, 72987, 81920, 81920, 78.72, 243.02, 51, 42

2025/06/08 03:17:35.089, 0, 1, 81920, 41.79, 29
2025/06/08 03:17:35.089, 0, 4, 81920, 40.35, 29
2025/06/08 03:17:35.109, 90, 72987, 81920, 250.43, 42
2025/06/08 03:17:35.109, 0, 4, 81920, 40.66, 29
2025/06/08 03:17:36.905, 0, 1, 81920, 43.05, 39
2025/06/08 03:17:36.915, 0, 1, 81920, 44.12, 31
2025/06/08 03:17:36.960, 0, 65975, 81920, 67.78, 35
2025/06/08 03:17:36.961, 0, 4, 81920, 42.17, 31
2025/06/08 03:17:36.977, 0, 66939, 81920, 64.75, 36
2025/06/08 03:17:36.978, 0, 4, 81920, 44.99, 34
2025/06/08 03:17:37.269, 8, 64625, 81920, 66.36, 31
2025/06/08 03:17:37.275, 0, 4, 81920, 42.67, 29
2025/06/08 03:17:40.130, 96, 72987, 81920, 235.26, 44
2025/06/08 03:17:40.136, 0, 4, 81920, 40.93, 29
2025/06/08 03:17:40.148, 97, 72987, 81920, 256.06, 43
2025/06/08 03:17:40.149, 0, 4, 81920, 39.94, 29
2025/06/08 03:17:41.964, 0, 1, 81920, 42.75, 38
2025/06/08 03:17:41.970, 0, 1, 81920, 44.19, 31
2025/06/08 03:17:42.008, 100, 68831, 81920, 210.56, 41
2025/06/08 03:17:42.008, 0, 4, 81920, 42.04, 31
