timestamp,gpu_utilization_percent,memory_used_mb,memory_total_mb,power_draw_w,temperature_c
2025/06/08 03:22:00.251, 25, 71841, 81920, 99.00, 38
2025/06/08 03:22:00.307, 21, 71841, 81920, 66.86, 39
2025/06/08 03:22:01.695, 26, 71841, 81920, 96.49, 33
2025/06/08 03:22:01.771, 0, 8017, 81920, 61.75, 30
2025/06/08 03:22:04.828, 26, 71841, 81920, 108.20, 36
2025/06/08 03:22:05.300, 26, 71841, 81920, 96.77, 38
2025/06/08 03:22:06.725, 26, 71841, 81920, 100.71, 33
2025/06/08 03:22:06.812, 0, 10331, 81920, 61.35, 30
2025/06/08 03:22:09.877, 26, 71841, 81920, 97.41, 36
2025/06/08 03:22:10.350, 26, 71841, 81920, 94.62, 38
2025/06/08 03:22:11.760, 26, 71841, 81920, 96.82, 33
2025/06/08 03:22:11.839, 100, 11349, 81920, 256.55, 37
2025/06/08 03:22:14.913, 26, 71841, 81920, 98.57, 36
2025/06/08 03:22:15.388, 25, 71841, 81920, 100.30, 38
2025/06/08 03:22:16.796, 25, 71841, 81920, 98.54, 33
2025/06/08 03:22:16.866, 0, 71841, 81920, 61.76, 31
2025/06/08 03:22:19.962, 26, 71841, 81920, 90.31, 36
2025/06/08 03:22:20.436, 26, 71841, 81920, 98.96, 38
2025/06/08 03:22:21.832, 26, 71841, 81920, 95.11, 33
2025/06/08 03:22:21.895, 0, 71841, 81920, 62.74, 31
2025/06/08 03:22:24.998, 26, 71841, 81920, 105.46, 36
2025/06/08 03:22:25.486, 26, 71841, 81920, 95.60, 38
2025/06/08 03:22:26.868, 27, 71841, 81920, 86.54, 34
2025/06/08 03:22:26.937, 28, 71841, 81920, 104.51, 33
2025/06/08 03:22:30.033, 26, 71841, 81920, 97.54, 36
2025/06/08 03:22:30.535, 25, 71841, 81920, 99.93, 38
2025/06/08 03:22:31.917, 25, 71841, 81920, 96.58, 34
2025/06/08 03:22:31.967, 26, 71841, 81920, 95.20, 33
2025/06/08 03:22:35.069, 26, 71841, 81920, 103.07, 37
2025/06/08 03:22:35.587, 25, 71841, 81920, 100.70, 38
2025/06/08 03:22:36.941, 26, 71841, 81920, 92.21, 34
2025/06/08 03:22:37.012, 100, 1, 81920, 66.00, 32
2025/06/08 03:22:40.116, 27, 71841, 81920, 103.08, 37
2025/06/08 03:22:40.637, 25, 71841, 81920, 96.42, 38
2025/06/08 03:22:41.977, 26, 71841, 81920, 103.32, 34
2025/06/08 03:22:45.151, 27, 71841, 81920, 103.37, 37
2025/06/08 03:22:45.687, 26, 71841, 81920, 95.37, 38
2025/06/08 03:22:47.012, 26, 71841, 81920, 96.54, 34
2025/06/08 03:22:50.188, 27, 71841, 81920, 103.53, 37
2025/06/08 03:22:50.713, 26, 71841, 81920, 101.97, 38
2025/06/08 03:22:52.061, 26, 71841, 81920, 99.10, 34
2025/06/08 03:22:55.236, 27, 71841, 81920, 101.17, 37
2025/06/08 03:22:55.762, 25, 71841, 81920, 99.57, 39
2025/06/08 03:22:57.098, 27, 71841, 81920, 94.57, 34
2025/06/08 03:23:00.285, 27, 71841, 81920, 98.99, 37
2025/06/08 03:23:00.812, 26, 71841, 81920, 97.38, 39
2025/06/08 03:23:02.146, 27, 71841, 81920, 94.87, 34
2025/06/08 03:23:05.334, 27, 71841, 81920, 103.50, 37
2025/06/08 03:23:05.863, 25, 71841, 81920, 97.40, 39
2025/06/08 03:23:07.193, 28, 71841, 81920, 101.77, 34
2025/06/08 03:23:10.384, 27, 71841, 81920, 99.65, 37
2025/06/08 03:23:10.915, 1, 1, 81920, 69.90, 38
2025/06/08 03:23:12.229, 27, 71841, 81920, 101.14, 34
2025/06/08 03:23:15.420, 27, 71841, 81920, 101.38, 37
2025/06/08 03:23:17.266, 28, 71841, 81920, 89.69, 34
2025/06/08 03:23:20.456, 28, 71841, 81920, 102.85, 37
2025/06/08 03:23:22.314, 26, 71841, 81920, 104.55, 34
2025/06/08 03:23:25.491, 27, 71841, 81920, 98.37, 37
2025/06/08 03:23:27.351, 27, 71841, 81920, 95.63, 34
2025/06/08 03:23:30.526, 28, 71841, 81920, 100.21, 37
