timestamp,gpu_utilization_percent,memory_used_mb,memory_total_mb,power_draw_w,temperature_c
2025/06/08 03:25:58.193, 0, 1, 81920, 45.63, 35
2025/06/08 03:25:58.205, 0, 1, 81920, 42.21, 35
2025/06/08 03:25:58.231, 0, 1943, 81920, 63.44, 32
2025/06/08 03:25:58.242, 0, 917, 81920, 63.76, 35
2025/06/08 03:25:58.281, 100, 72699, 81920, 254.42, 41
2025/06/08 03:25:58.291, 99, 72699, 81920, 253.79, 39
2025/06/08 03:25:58.4112025/06/08 03:25:58.412, 5, 5, 16719, 16719, 81920, 81920, 64.53, 64.93, 31, 31

2025/06/08 03:25:58.450, 5, 16719, 81920, 66.66, 31
2025/06/08 03:25:58.477, 100, 72699, 81920, 247.98, 41
2025/06/08 03:25:58.489, 5, 16719, 81920, 65.08, 30
2025/06/08 03:25:58.515, 3, 16719, 81920, 66.55, 32
2025/06/08 03:25:58.542, 46, 72699, 81920, 155.00, 44
2025/06/08 03:26:03.227, 0, 1, 81920, 42.11, 35
2025/06/08 03:26:03.237, 0, 1, 81920, 45.13, 35
2025/06/08 03:26:03.271, 15, 16719, 81920, 63.77, 33
2025/06/08 03:26:03.274, 15, 16719, 81920, 64.20, 35
2025/06/08 03:26:03.322, 100, 1, 81920, 63.63, 37
2025/06/08 03:26:03.325, 52, 72699, 81920, 178.97, 39
2025/06/08 03:26:03.4452025/06/08 03:26:03.446, 5, 5, 16719, 16719, 81920, 81920, 64.43, 64.62, 31, 31

2025/06/08 03:26:03.479, 5, 16719, 81920, 66.37, 31
2025/06/08 03:26:03.513, 54, 72699, 81920, 144.73, 39
2025/06/08 03:26:03.543, 5, 16719, 81920, 65.49, 31
2025/06/08 03:26:03.544, 3, 16719, 81920, 66.11, 32
2025/06/08 03:26:03.595, 49, 72699, 81920, 155.95, 45
2025/06/08 03:26:08.271, 0, 1, 81920, 41.72, 34
2025/06/08 03:26:08.282, 0, 1, 81920, 45.13, 34
2025/06/08 03:26:08.297, 15, 16719, 81920, 63.85, 35
2025/06/08 03:26:08.307, 14, 16719, 81920, 63.76, 33
2025/06/08 03:26:08.481, 5, 16719, 81920, 64.53, 31
2025/06/08 03:26:08.493, 5, 16719, 81920, 64.63, 31
2025/06/08 03:26:08.520, 5, 16719, 81920, 66.95, 31
2025/06/08 03:26:08.548, 0, 72699, 81920, 64.18, 37
2025/06/08 03:26:08.580, 3, 16719, 81920, 66.30, 32
2025/06/08 03:26:08.582, 5, 16719, 81920, 64.78, 31
2025/06/08 03:26:08.634, 50, 72699, 81920, 164.38, 45
2025/06/08 03:26:13.304, 0, 1, 81920, 41.82, 34
2025/06/08 03:26:13.312, 0, 1, 81920, 45.13, 34
2025/06/08 03:26:13.333, 100, 20051, 81920, 255.47, 40
2025/06/08 03:26:13.336, 100, 20051, 81920, 250.58, 38
2025/06/08 03:26:13.518, 0, 17179, 81920, 65.05, 31
2025/06/08 03:26:13.535, 0, 17179, 81920, 64.63, 31
2025/06/08 03:26:13.561, 0, 17179, 81920, 66.66, 31
2025/06/08 03:26:13.605, 0, 17179, 81920, 64.59, 31
2025/06/08 03:26:13.618, 0, 17179, 81920, 66.14, 32
2025/06/08 03:26:13.672, 49, 72699, 81920, 181.04, 45
2025/06/08 03:26:18.323, 0, 1, 81920, 41.71, 34
2025/06/08 03:26:18.343, 0, 1, 81920, 44.85, 34
2025/06/08 03:26:18.370, 0, 72105, 81920, 63.71, 34
2025/06/08 03:26:18.371, 0, 72105, 81920, 64.46, 36
2025/06/08 03:26:18.556, 2, 19033, 81920, 64.83, 31
2025/06/08 03:26:18.567, 1, 19033, 81920, 64.63, 31
2025/06/08 03:26:18.602, 2, 19033, 81920, 67.06, 31
2025/06/08 03:26:18.633, 2, 19033, 81920, 66.36, 32
2025/06/08 03:26:18.646, 0, 19033, 81920, 64.68, 31
2025/06/08 03:26:18.710, 49, 72699, 81920, 178.48, 45
2025/06/08 03:26:23.372, 0, 423, 81920, 61.06, 34
2025/06/08 03:26:23.394, 86, 72699, 81920, 254.66, 41
2025/06/08 03:26:23.406, 100, 72699, 81920, 278.20, 39
2025/06/08 03:26:23.470, 0, 423, 81920, 65.36, 35
2025/06/08 03:26:23.594, 0, 19193, 81920, 64.83, 31
2025/06/08 03:26:23.595, 0, 19193, 81920, 64.83, 31
2025/06/08 03:26:23.643, 0, 19193, 81920, 66.66, 31
2025/06/08 03:26:23.662, 0, 19193, 81920, 66.74, 32
2025/06/08 03:26:23.684, 0, 19193, 81920, 64.68, 31
2025/06/08 03:26:23.750, 100, 1, 81920, 69.13, 43
2025/06/08 03:26:28.420, 0, 423, 81920, 61.04, 34
2025/06/08 03:26:28.434, 54, 72699, 81920, 160.05, 39
2025/06/08 03:26:28.442, 56, 72699, 81920, 178.25, 41
2025/06/08 03:26:28.521, 0, 501, 81920, 65.36, 35
2025/06/08 03:26:28.677, 2, 20645, 81920, 63.46, 32
2025/06/08 03:26:28.6802025/06/08 03:26:28.678, 2, 2, 20645, 81920, 20645, 81920, 66.17, 32, 64.83, 33

2025/06/08 03:26:28.694, 0, 20645, 81920, 67.09, 33
2025/06/08 03:26:28.714, 0, 20645, 81920, 66.17, 32
2025/06/08 03:26:33.462, 9, 16719, 81920, 60.87, 34
2025/06/08 03:26:33.471, 53, 72699, 81920, 172.54, 41
2025/06/08 03:26:33.554, 15, 16719, 81920, 65.65, 35
2025/06/08 03:26:33.706, 0, 72105, 81920, 63.16, 32
2025/06/08 03:26:33.718, 0, 72105, 81920, 66.27, 32
2025/06/08 03:26:33.720, 0, 72105, 81920, 64.52, 32
2025/06/08 03:26:33.737, 0, 72105, 81920, 66.84, 33
2025/06/08 03:26:33.746, 0, 72105, 81920, 65.49, 32
2025/06/08 03:26:38.506, 50, 72699, 81920, 156.74, 42
2025/06/08 03:26:38.508, 16, 16719, 81920, 61.17, 34
2025/06/08 03:26:38.602, 0, 16719, 81920, 65.26, 35
2025/06/08 03:26:38.7432025/06/08 03:26:38.748, 100, 85, 72699, 72699, 81920, 81920, 261.14, 256.59, 38, 38

2025/06/08 03:26:38.751, 85, 72699, 81920, 272.49, 39
2025/06/08 03:26:38.772, 85, 72699, 81920, 260.80, 38
2025/06/08 03:26:38.781, 50, 72699, 81920, 156.75, 36
2025/06/08 03:26:43.537, 51, 72699, 81920, 168.34, 42
2025/06/08 03:26:43.557, 1, 19193, 81920, 60.64, 34
2025/06/08 03:26:43.643, 100, 20051, 81920, 250.06, 40
2025/06/08 03:26:43.783, 49, 72701, 81920, 153.92, 36
2025/06/08 03:26:43.784, 54, 72699, 81920, 161.03, 37
2025/06/08 03:26:43.797, 52, 72699, 81920, 184.36, 37
